id,phonological_system,category,sound,initial,final,vowel,tone,tone_number,tone_name,character,word,phrase,jyutping,romanization,audio_path,audio_url,source_url,source_page,source_id,original_filename,audio_format,codec,duration_seconds,sample_rate,channels,file_size_bytes,sha256,recording_variant,language,activity,book_id,book_title,variant_label,notes
SA-00001,輔音,輔音,b,b,,,,,,餅,,,,,audio/consonants/b/b_001.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-1.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-1.mp3,https://app.speakalongcuhk.com/tc/scontent/b/single,sound:b:single:1,1-1.mp3,mp3,.mp3,1.123265,44100,2,18571,9eed9f7fa7bd051d5dd6a2e325efe28d2c907e9fb8fad8f360b7e2d49a0d190f,1,yue-Hant,single,,,,Lexical label is human-curated from source artwork/category; it is not textual metadata supplied by the site.
SA-00002,輔音,輔音,b,b,,,,,,波,,,,,audio/consonants/b/b_002.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-2.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-2.mp3,https://app.speakalongcuhk.com/tc/scontent/b/single,sound:b:single:2,1-2.mp3,mp3,.mp3,1.07102,44100,2,22801,21aa16d0dc5e5ebab6fa916afd88b996e1466d0fb22fd247bd07f4f087322f41,1,yue-Hant,single,,,,Lexical label is human-curated from source artwork/category; it is not textual metadata supplied by the site.
SA-00003,輔音,輔音,b,b,,,,,,筆,,,,,audio/consonants/b/b_003.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-3.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-3.mp3,https://app.speakalongcuhk.com/tc/scontent/b/single,sound:b:single:3,1-3.mp3,mp3,.mp3,1.07102,44100,2,15961,d209d42a727fdce5db8352a3226a02bd12582d1eb37a0399a4126546c4348ddf,1,yue-Hant,single,,,,Lexical label is human-curated from source artwork/category; it is not textual metadata supplied by the site.
SA-00004,輔音,輔音,b,b,,,,,,鼻,,,,,audio/consonants/b/b_004.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-4.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-4.mp3,https://app.speakalongcuhk.com/tc/scontent/b/single,sound:b:single:4,1-4.mp3,mp3,.mp3,1.149388,44100,2,29119,82a17f4be867e46bba83ae4ed33d93f5bbf545a8c30c2928be84703dd63ab371,1,yue-Hant,single,,,,Lexical label is human-curated from source artwork/category; it is not textual metadata supplied by the site.
SA-00005,輔音,輔音,b,b,,,,,,病,,,,,audio/consonants/b/b_005.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-5.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-5.mp3,https://app.speakalongcuhk.com/tc/scontent/b/single,sound:b:single:5,1-5.mp3,mp3,.mp3,1.097143,44100,2,23272,b0382d3daf0d83b3dd03fe7c87c6354b390e46352c25ae77c59a8b5d20df6d89,1,yue-Hant,single,,,,Lexical label is human-curated from source artwork/category; it is not textual metadata supplied by the site.
SA-00006,輔音,輔音,b,b,,,,,,簿,,,,,audio/consonants/b/b_006.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-6.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-6.mp3,https://app.speakalongcuhk.com/tc/scontent/b/single,sound:b:single:6,1-6.mp3,mp3,.mp3,1.07102,44100,2,19721,e0263909a577120182eb89948326fd0ffe24b3f043637ccacccd9b32c4d2459b,1,yue-Hant,single,,,,Lexical label is human-curated from source artwork/category; it is not textual metadata supplied by the site.
SA-00007,輔音,輔音,b,b,,,,,,逼,,,,,audio/consonants/b/b_007.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-7.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-7.mp3,https://app.speakalongcuhk.com/tc/scontent/b/single,sound:b:single:7,1-7.mp3,mp3,.mp3,1.07102,44100,2,12044,fc30364ef9cb64c511de5a074eec4394fb9cefcd18f604015d3e9ed83f5239e4,1,yue-Hant,single,,,,Lexical label is human-curated from source artwork/category; it is not textual metadata supplied by the site.
SA-00008,輔音,輔音,b,b,,,,,,包,,,,,audio/consonants/b/b_008.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-8.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-8.mp3,https://app.speakalongcuhk.com/tc/scontent/b/single,sound:b:single:8,1-8.mp3,mp3,.mp3,1.07102,44100,2,25621,35c2bf724243367fa4cafa9915946ee2d7ce4583e4ab6087fc05716f99d24f3d,1,yue-Hant,single,,,,Lexical label is human-curated from source artwork/category; it is not textual metadata supplied by the site.
SA-00009,輔音,輔音,b,b,,,,,,冰,,,,,audio/consonants/b/b_009.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-9.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-9.mp3,https://app.speakalongcuhk.com/tc/scontent/b/single,sound:b:single:9,1-9.mp3,mp3,.mp3,1.07102,44100,2,24106,a204171c0337a0afc1a3abd6ca2bb4921b6db33beecd7a755f6fcd3175db2915,1,yue-Hant,single,,,,Lexical label is human-curated from source artwork/category; it is not textual metadata supplied by the site.
SA-00010,輔音,輔音,b,b,,,,,,八,,,,,audio/consonants/b/b_010.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-10.mp3,https://app.speakalongcuhk.com/assets/voices/b/1-10.mp3,https://app.speakalongcuhk.com/tc/scontent/b/single,sound:b:single:10,1-10.mp3,mp3,.mp3,1.07102,44100,2,17320,b7afabf65337866baede6de3f00b59a1864cf6b8bce8da12c327ff0885e7d9e5,1,yue-Hant,single,,,,Lexical label is human-curated from source artwork/category; it is not textual metadata supplied by the site.
